split,file_name,text,accent
train,ABA/wav/arctic_a0001.wav,Author of the danger trail Philip Steels etc,arabic
validation,ABA/wav/arctic_a0002.wav,Not at this particular case Tom apologized Whittemore,arabic
train,ABA/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands,arabic
train,ABA/wav/arctic_a0004.wav,Lord but I'm glad to see you again Phil,arabic
train,ABA/wav/arctic_a0005.wav,Will we ever forget it,arabic
train,ABA/wav/arctic_a0006.wav,God bless 'em I hope I'll go on seeing them forever,arabic
train,ABA/wav/arctic_a0007.wav,And you always want to see it in the superlative degree,arabic
validation,ABA/wav/arctic_a0008.wav,Gad your letter came just in time,arabic
train,ABA/wav/arctic_a0009.wav,He turned sharply and faced Gregson across the table,arabic
train,ABA/wav/arctic_a0010.wav,I'm playing a single hand in what looks like a losing game,arabic
train,ABA/wav/arctic_a0011.wav,If I ever needed a fighter in my life I need one now,arabic
train,ABA/wav/arctic_a0012.wav,Gregson shoved back his chair and rose to his feet,arabic
train,ABA/wav/arctic_a0013.wav,He was a head shorter than his companion of almost delicate physique,arabic
train,ABA/wav/arctic_a0014.wav,Now you're coming down to business Phil he exclaimed,arabic
train,ABA/wav/arctic_a0015.wav,It's the aurora borealis,arabic
train,ABA/wav/arctic_a0016.wav,There's Fort Churchill a rifle shot beyond the ridge asleep,arabic
test,ABA/wav/arctic_a0017.wav,From that moment his friendship for Belize turns to hatred and jealousy,arabic
train,ABA/wav/arctic_a0018.wav,There was a change now,arabic
train,ABA/wav/arctic_a0019.wav,I followed the line of the proposed railroad looking for chances,arabic
train,ABA/wav/arctic_a0020.wav,Clubs and balls and cities grew to be only memories,arabic
train,ABA/wav/arctic_a0021.wav,It fairly clubbed me into recognizing it,arabic
test,ABA/wav/arctic_a0022.wav,Hardly were our plans made public before we were met by powerful opposition,arabic
train,ABA/wav/arctic_a0023.wav,A combination of Canadian capital quickly organized and petitioned for the same privileges,arabic
train,ABA/wav/arctic_a0024.wav,It was my reports from the north which chiefly induced people to buy,arabic
train,ABA/wav/arctic_a0025.wav,I was about to do this when cooler judgment prevailed,arabic
test,ABA/wav/arctic_a0026.wav,It occurred to me that there would have to be an accounting,arabic
test,ABA/wav/arctic_a0027.wav,To my surprise he began to show actual enthusiasm in my favor,arabic
test,ABA/wav/arctic_a0028.wav,Robbery bribery fraud,arabic
train,ABA/wav/arctic_a0029.wav,Their forces were already moving into the north country,arabic
validation,ABA/wav/arctic_a0030.wav,I had faith in them,arabic
train,ABA/wav/arctic_a0031.wav,They were three hundred yards apart,arabic
train,ABA/wav/arctic_a0032.wav,Since then some mysterious force has been fighting us at every step,arabic
train,ABA/wav/arctic_a0033.wav,He unfolded a long typewritten letter and handed it to Gregson,arabic
train,ABA/wav/arctic_a0034.wav,Men of Selden's stamp don't stop at women and children,arabic
train,ABA/wav/arctic_a0035.wav,He stopped and Philip nodded at the horrified question in his eyes,arabic
train,ABA/wav/arctic_a0036.wav,She turned in at the hotel,arabic
train,ABA/wav/arctic_a0037.wav,I was the only one who remained sitting,arabic
train,ABA/wav/arctic_a0038.wav,We will have to watch our chances,arabic
