split,file_name,text,accent
train,ABA/wav/arctic_a0001.wav,Author of the danger trail Philip Steels etc,arabic
train,ABA/wav/arctic_a0002.wav,Not at this particular case Tom apologized Whittemore,arabic
train,ABA/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands,arabic
train,ABA/wav/arctic_a0004.wav,Lord but I'm glad to see you again Phil,arabic
validation,ABA/wav/arctic_a0005.wav,Will we ever forget it,arabic
train,ABA/wav/arctic_a0006.wav,God bless 'em I hope I'll go on seeing them forever,arabic
train,ABA/wav/arctic_a0007.wav,And you always want to see it in the superlative degree,arabic
train,ABA/wav/arctic_a0008.wav,Gad your letter came just in time,arabic
train,ABA/wav/arctic_a0009.wav,He turned sharply and faced Gregson across the table,arabic
train,ABA/wav/arctic_a0010.wav,I'm playing a single hand in what looks like a losing game,arabic
validation,ABA/wav/arctic_a0011.wav,If I ever needed a fighter in my life I need one now,arabic
test,ABA/wav/arctic_a0012.wav,Gregson shoved back his chair and rose to his feet,arabic
train,ABA/wav/arctic_a0013.wav,He was a head shorter than his companion of almost delicate physique,arabic
train,ABA/wav/arctic_a0014.wav,Now you're coming down to business Phil he exclaimed,arabic
train,ABA/wav/arctic_a0015.wav,It's the aurora borealis,arabic
validation,ABA/wav/arctic_a0016.wav,There's Fort Churchill a rifle shot beyond the ridge asleep,arabic
train,ABA/wav/arctic_a0017.wav,From that moment his friendship for Belize turns to hatred and jealousy,arabic
validation,ABA/wav/arctic_a0018.wav,There was a change now,arabic
train,ABA/wav/arctic_a0019.wav,I followed the line of the proposed railroad looking for chances,arabic
train,ABA/wav/arctic_a0020.wav,Clubs and balls and cities grew to be only memories,arabic
test,ABA/wav/arctic_a0021.wav,It fairly clubbed me into recognizing it,arabic
train,ABA/wav/arctic_a0022.wav,Hardly were our plans made public before we were met by powerful opposition,arabic
train,ABA/wav/arctic_a0023.wav,A combination of Canadian capital quickly organized and petitioned for the same privileges,arabic
